RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
1032356,2016318538,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,09/02/2016,09/01/2016 11:45:00 PM,09/02/2016 07:45:00 AM,11XX BLOCK OF 22 AV E,C,C2,6400.3008,-122.303535461,47.629623413,"(47.629623413, -122.303535461)"
1032430,2016305837,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,08/24/2016,08/23/2016 11:00:00 PM,08/24/2016 09:10:00 AM,11XX BLOCK OF 18 AV E,C,C2,6400.2005,-122.308609009,47.629638672,"(47.629638672, -122.308609009)"
1032448,2016323410,1211,0,ROBBERY-BANK-GUN,1200,ROBBERY,09/06/2016,09/06/2016 03:35:00 PM,,40XX BLOCK OF E MADISON ST,C,C2,6300.3018,-122.280464172,47.634128571,"(47.634128571, -122.280464172)"
1032590,2016313516,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,08/29/2016,08/12/2016 10:00:00 AM,08/22/2016 11:00:00 PM,4XX BLOCK OF 24 AV E,C,C2,7700.2007,-122.30116272,47.623519897,"(47.623519897, -122.30116272)"
1034015,201660646,1305,0,ASSLT-AGG-WEAPON,1300,ASSAULT,02/19/2016,02/19/2016 09:34:00 PM,,SR520 WB / LAKE WASHINGTON SHORE,C,C2,6200.1007,-122.298416138,47.644859314,"(47.644859314, -122.298416138)"
1034070,2016320041,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,09/03/2016,09/03/2016 08:51:00 PM,,19XX BLOCK OF 15 AV E,C,C2,6200.3005,-122.313598633,47.636707306,"(47.636707306, -122.313598633)"
1034423,2016320041,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,09/03/2016,09/03/2016 08:51:00 PM,,19XX BLOCK OF 15 AV E,C,C2,6200.3005,-122.313598633,47.636707306,"(47.636707306, -122.313598633)"
1034739,201660646,1305,0,ASSLT-AGG-WEAPON,1300,ASSAULT,02/19/2016,02/19/2016 09:34:00 PM,,SR520 WB / LAKE WASHINGTON SHORE,C,C2,6200.1007,-122.298416138,47.644859314,"(47.644859314, -122.298416138)"
1035372,2016296385,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,08/16/2016,08/16/2016 02:40:00 PM,08/16/2016 02:43:00 PM,10XX BLOCK OF 24 AV E,C,C2,6400.1008,-122.301673889,47.628723145,"(47.628723145, -122.301673889)"
1035481,2016331387,1313,0,ASSLT-NONAGG,1300,ASSAULT,09/12/2016,09/12/2016 06:52:00 PM,,LAKE WASHINGTON BV E / BOYER AV E,C,C2,6200.1062,-122.297920227,47.633766174,"(47.633766174, -122.297920227)"
1035976,2016318538,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,09/02/2016,09/01/2016 11:45:00 PM,09/02/2016 07:45:00 AM,11XX BLOCK OF 22 AV E,C,C2,6400.3008,-122.303535461,47.629623413,"(47.629623413, -122.303535461)"
1036233,2016294632,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,08/15/2016,08/15/2016 01:00:00 AM,08/15/2016 07:00:00 AM,25XX BLOCK OF CANTERBURY LN E,C,C2,6300.3002,-122.281364441,47.641235352,"(47.641235352, -122.281364441)"
1036683,2016294632,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,08/15/2016,08/15/2016 01:00:00 AM,08/15/2016 07:00:00 AM,25XX BLOCK OF CANTERBURY LN E,C,C2,6300.3002,-122.281364441,47.641235352,"(47.641235352, -122.281364441)"
1036883,2015450280,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,12/30/2015,12/29/2015 08:00:00 PM,12/30/2015 10:00:00 AM,19XX BLOCK OF 26 AV E,C,C2,6200.1037,-122.299468994,47.635910034,"(47.635910034, -122.299468994)"
1037265,2016334428,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,09/15/2016,09/15/2016 03:24:00 AM,,41XX BLOCK OF E MADISON ST,C,C2,6300.1019,-122.279022217,47.635097504,"(47.635097504, -122.279022217)"
1037584,2016336437,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,09/16/2016,09/15/2016 09:00:00 PM,09/16/2016 02:00:00 PM,24XX BLOCK OF E MILLER ST,C,C2,6200.1043,-122.301193237,47.641716003,"(47.641716003, -122.301193237)"
1037619,2016335214,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,09/15/2016,09/15/2016 06:30:00 AM,09/15/2016 04:00:00 PM,15XX BLOCK OF 18 AV E,C,C2,6200.3001,-122.308708191,47.633136749,"(47.633136749, -122.308708191)"
