dates,violent_crimes,poverty_population,median_household_income,unemployment,rents,graduation,homeless_population,seattle_population,cocaine_arrests
12-Jan,277,929258,68656,8.2,1341,0.772,2594,635306,25
12-Feb,229,929258,68656,8.1,1343,0.772,2594,635306,34
12-Mar,269,929258,68656,7.8,1360,0.772,2594,635306,48
12-Apr,290,929258,68656,6.9,1412,0.772,2594,635306,31
12-May,327,929258,68656,7.2,1392,0.772,2594,635306,16
12-Jun,320,929258,68656,7.5,1435,0.772,2594,635306,14
12-Jul,306,929258,68656,7.5,1520,0.772,2594,635306,20
12-Aug,329,929258,68656,7.1,1515,0.772,2594,635306,36
12-Sep,344,929258,68656,6.6,1585,0.772,2594,635306,27
12-Oct,310,929258,68656,6.4,1537,0.772,2594,635306,26
12-Nov,258,929258,68656,6.4,1541,0.772,2594,635306,25
12-Dec,274,929258,68656,6.2,1495,0.772,2594,635306,25
13-Jan,258,915278,69530,6.6,1503,0.76,2736,653095,27
13-Feb,286,915278,69530,6.3,1548,0.76,2736,653095,37
13-Mar,240,915278,69530,5.9,1698,0.76,2736,653095,47
13-Apr,247,915278,69530,5.3,1788,0.76,2736,653095,52
13-May,308,915278,69530,5.6,1664,0.76,2736,653095,39
13-Jun,271,915278,69530,6,1752,0.76,2736,653095,25
13-Jul,358,915278,69530,6,1726,0.76,2736,653095,31
13-Aug,340,915278,69530,5.8,1732,0.76,2736,653095,32
13-Sep,285,915278,69530,5.7,1740,0.76,2736,653095,31
13-Oct,334,915278,69530,5.8,1749,0.76,2736,653095,46
13-Nov,309,915278,69530,5.7,1693,0.76,2736,653095,41
13-Dec,285,915278,69530,5.4,1670,0.76,2736,653095,28
14-Jan,300,967282,72257,5.7,1657,0.772,3123,667963,15
14-Feb,223,967282,72257,5.8,1702,0.772,3123,667963,17
14-Mar,303,967282,72257,5.6,1760,0.772,3123,667963,10
14-Apr,301,967282,72257,4.7,1764,0.772,3123,667963,13
14-May,345,967282,72257,5.1,1823,0.772,3123,667963,5
14-Jun,341,967282,72257,5.3,1843,0.772,3123,667963,4
14-Jul,315,967282,72257,5.5,1861,0.772,3123,667963,8
14-Aug,352,967282,72257,5.3,1826,0.772,3123,667963,5
14-Sep,364,967282,72257,5.1,1839,0.772,3123,667963,11
14-Oct,300,967282,72257,4.9,1830,0.772,3123,667963,10
14-Nov,285,967282,72257,5.1,1809,0.772,3123,667963,6
14-Dec,306,967282,72257,4.7,1811,0.772,3123,667963,9
15-Jan,294,913619,76283,5.1,1821,0.78,3772,683505,9
15-Feb,311,913619,76283,5,1819,0.78,3772,683505,22
15-Mar,290,913619,76283,4.7,1857,0.78,3772,683505,10
15-Apr,286,913619,76283,4.2,1865,0.78,3772,683505,5
15-May,317,913619,76283,4.6,1887,0.78,3772,683505,9
15-Jun,347,913619,76283,4.8,1921,0.78,3772,683505,11
15-Jul,358,913619,76283,4.9,1963,0.78,3772,683505,11
15-Aug,362,913619,76283,4.7,1992,0.78,3772,683505,7
15-Sep,315,913619,76283,4.7,1990,0.78,3772,683505,22
15-Oct,300,913619,76283,4.8,2013,0.78,3772,683505,8
15-Nov,305,913619,76283,5,2000,0.78,3772,683505,18
15-Dec,285,913619,76283,4.7,1987,0.78,3772,683505,24
16-Jan,342,857801,78612,5,2007,0.79,4505,704352,14
16-Feb,278,857801,78612,4.9,2013,0.79,4505,704352,30
16-Mar,312,857801,78612,4.8,2062,0.79,4505,704352,13
16-Apr,312,857801,78612,4.2,2096,0.79,4505,704352,13
16-May,340,857801,78612,4.3,2146,0.79,4505,704352,19
16-Jun,345,857801,78612,4.6,2191,0.79,4505,704352,11
16-Jul,356,857801,78612,4.6,2179,0.79,4505,704352,24
16-Aug,365,857801,78612,4.4,2154,0.79,4505,704352,23
16-Sep,349,857801,78612,4.4,2154,0.79,4505,704352,45
16-Oct,317,857801,78612,4.3,2133,0.79,4505,704352,57
16-Nov,334,857801,78612,4.3,2109,0.79,4505,704352,27
16-Dec,332,857801,78612,4,2101,0.79,4505,704352,46
